review_id,rating,entity_text,entity_label,entity_description
20,1,114622,MONEY,"Monetary values, including unit"
21,2,MIX,ORG,"Companies, agencies, institutions, etc."
21,2,first,ORDINAL,"""first"", ""second"", etc."
22,1,early morning,TIME,Times smaller than a day
22,1,Captain,ORG,"Companies, agencies, institutions, etc."
22,1,YOUTUBE,ORG,"Companies, agencies, institutions, etc."
22,1,16,CARDINAL,Numerals that do not fall under another type
22,1,Amazon,ORG,"Companies, agencies, institutions, etc."
23,2,Japanese,NORP,Nationalities or religious or political groups
23,2,Rising Sons and Daughters,WORK_OF_ART,"Titles of books, songs, etc."
23,2,Japanese,NORP,Nationalities or religious or political groups
23,2,Japanese,NORP,Nationalities or religious or political groups
23,2,Western,NORP,Nationalities or religious or political groups
23,2,"the ""New Young",ORG,"Companies, agencies, institutions, etc."
23,2,Japan,GPE,"Countries, cities, states"
23,2,Ando,ORG,"Companies, agencies, institutions, etc."
23,2,Steven Wardell,PERSON,"People, including fictional"
23,2,four,CARDINAL,Numerals that do not fall under another type
23,2,Japan,GPE,"Countries, cities, states"
24,2,two,CARDINAL,Numerals that do not fall under another type
24,2,Roy,PERSON,"People, including fictional"
25,1,more than two years,DATE,Absolute or relative dates or periods
25,1,AAA,ORG,"Companies, agencies, institutions, etc."
25,1,one,CARDINAL,Numerals that do not fall under another type
25,1,four,CARDINAL,Numerals that do not fall under another type
25,1,AAA,ORG,"Companies, agencies, institutions, etc."
25,1,three,CARDINAL,Numerals that do not fall under another type
25,1,four,CARDINAL,Numerals that do not fall under another type
26,1,24 hours,TIME,Times smaller than a day
27,1,four,CARDINAL,Numerals that do not fall under another type
28,1,Muslim,NORP,Nationalities or religious or political groups
28,1,One,CARDINAL,Numerals that do not fall under another type
28,1,Muslim,NORP,Nationalities or religious or political groups
28,1,Cape Town,LOC,"Non-GPE locations, mountain ranges, bodies of water"
28,1,Muslim,NORP,Nationalities or religious or political groups
28,1,at least one,CARDINAL,Numerals that do not fall under another type
28,1,Muslim,NORP,Nationalities or religious or political groups
28,1,mutilation.--Alyssa A. Lappen,PERSON,"People, including fictional"
29,2,VHS,ORG,"Companies, agencies, institutions, etc."
29,2,Two,CARDINAL,Numerals that do not fall under another type
29,2,$$$,MONEY,"Monetary values, including unit"
30,1,JVC,ORG,"Companies, agencies, institutions, etc."
31,2,JVC,ORG,"Companies, agencies, institutions, etc."
31,2,3 JVC,QUANTITY,"Measurements, as of weight or distance"
31,2,one,CARDINAL,Numerals that do not fall under another type
31,2,VHS,ORG,"Companies, agencies, institutions, etc."
31,2,2,CARDINAL,Numerals that do not fall under another type
31,2,2)no,CARDINAL,Numerals that do not fall under another type
32,1,Hollywood Debacle,WORK_OF_ART,"Titles of books, songs, etc."
33,2,Hotel Babylon,ORG,"Companies, agencies, institutions, etc."
33,2,Tamzin Outhwaite,ORG,"Companies, agencies, institutions, etc."
33,2,EastEnders,ORG,"Companies, agencies, institutions, etc."
33,2,BBC,ORG,"Companies, agencies, institutions, etc."
33,2,Max Beesley,PERSON,"People, including fictional"
33,2,Glitter,PRODUCT,"Objects, vehicles, foods, etc. (not services)"
33,2,Mariah Carey,PERSON,"People, including fictional"
33,2,BBC,ORG,"Companies, agencies, institutions, etc."
33,2,BBC America,ORG,"Companies, agencies, institutions, etc."
33,2,Hotel,ORG,"Companies, agencies, institutions, etc."
33,2,ABC,ORG,"Companies, agencies, institutions, etc."
33,2,1983 to 1988,DATE,Absolute or relative dates or periods
33,2,Hotel,ORG,"Companies, agencies, institutions, etc."
33,2,San Francisco,GPE,"Countries, cities, states"
33,2,Hotel Babylon,ORG,"Companies, agencies, institutions, etc."
33,2,five,CARDINAL,Numerals that do not fall under another type
33,2,England,GPE,"Countries, cities, states"
33,2,BBC,ORG,"Companies, agencies, institutions, etc."
35,1,first,ORDINAL,"""first"", ""second"", etc."
35,1,fourth,ORDINAL,"""first"", ""second"", etc."
35,1,San Diego,GPE,"Countries, cities, states"
35,1,Southern California,LOC,"Non-GPE locations, mountain ranges, bodies of water"
35,1,Surf Cha Cha,WORK_OF_ART,"Titles of books, songs, etc."
35,1,CHA,ORG,"Companies, agencies, institutions, etc."
36,2,Rochelle,PERSON,"People, including fictional"
36,2,American,NORP,Nationalities or religious or political groups
36,2,Robert Ringer's,PERSON,"People, including fictional"
36,2,1,MONEY,"Monetary values, including unit"
36,2,American,NORP,Nationalities or religious or political groups
36,2,Americans,NORP,Nationalities or religious or political groups
37,2,Larry,PERSON,"People, including fictional"
37,2,Muse,ORG,"Companies, agencies, institutions, etc."
37,2,the late 80s,DATE,Absolute or relative dates or periods
37,2,early 90s,DATE,Absolute or relative dates or periods
37,2,Larry,PERSON,"People, including fictional"
37,2,Larry,PERSON,"People, including fictional"
37,2,My Funny Valentine,WORK_OF_ART,"Titles of books, songs, etc."
37,2,Chet Baker's,PERSON,"People, including fictional"
37,2,Miles,PERSON,"People, including fictional"
38,1,Mac,ORG,"Companies, agencies, institutions, etc."
38,1,Windows,LOC,"Non-GPE locations, mountain ranges, bodies of water"
39,1,three year old,DATE,Absolute or relative dates or periods
39,1,two,CARDINAL,Numerals that do not fall under another type
40,1,Rescue Heroes,ORG,"Companies, agencies, institutions, etc."
40,1,3,CARDINAL,Numerals that do not fall under another type
40,1,6,CARDINAL,Numerals that do not fall under another type
41,1,Alaskan,NORP,Nationalities or religious or political groups
41,1,Allman,ORG,"Companies, agencies, institutions, etc."
41,1,8-10,CARDINAL,Numerals that do not fall under another type
41,1,Ed Wood's,PERSON,"People, including fictional"
41,1,Lisa Rayner's,PERSON,"People, including fictional"
41,1,Wild Bread,PERSON,"People, including fictional"
41,1,Allman,ORG,"Companies, agencies, institutions, etc."
41,1,Ed Wood's,PERSON,"People, including fictional"
41,1,Lisa Rayner,PERSON,"People, including fictional"
41,1,Wild Bread,GPE,"Countries, cities, states"
42,2,Alaska,GPE,"Countries, cities, states"
42,2,Alaska,GPE,"Countries, cities, states"
43,2,Ruth,PERSON,"People, including fictional"
43,2,Alaska,GPE,"Countries, cities, states"
44,2,NC,GPE,"Countries, cities, states"
45,2,decades ago,DATE,Absolute or relative dates or periods
45,2,One,CARDINAL,Numerals that do not fall under another type
45,2,26,CARDINAL,Numerals that do not fall under another type
45,2,YouTube,ORG,"Companies, agencies, institutions, etc."
45,2,Russia,GPE,"Countries, cities, states"
45,2,English,NORP,Nationalities or religious or political groups
45,2,15,MONEY,"Monetary values, including unit"
45,2,Amazon,ORG,"Companies, agencies, institutions, etc."
45,2,iPod,ORG,"Companies, agencies, institutions, etc."
46,1,Amazon,ORG,"Companies, agencies, institutions, etc."
46,1,one,CARDINAL,Numerals that do not fall under another type
46,1,Emerson,ORG,"Companies, agencies, institutions, etc."
46,1,400,MONEY,"Monetary values, including unit"
46,1,WM,GPE,"Countries, cities, states"
47,2,Sylvania,GPE,"Countries, cities, states"
47,2,20,CARDINAL,Numerals that do not fall under another type
47,2,Flat Panel LCD TV,WORK_OF_ART,"Titles of books, songs, etc."
47,2,Sharp Picture,ORG,"Companies, agencies, institutions, etc."
49,1,Sony,ORG,"Companies, agencies, institutions, etc."
50,2,13,CARDINAL,Numerals that do not fall under another type
51,2,first,ORDINAL,"""first"", ""second"", etc."
51,2,Electronics Express,ORG,"Companies, agencies, institutions, etc."
51,2,RMA,EVENT,"Named hurricanes, battles, wars, sports events, etc."
51,2,the next day,DATE,Absolute or relative dates or periods
51,2,one,CARDINAL,Numerals that do not fall under another type
51,2,1 week later,DATE,Absolute or relative dates or periods
51,2,RV,GPE,"Countries, cities, states"
51,2,RV,ORG,"Companies, agencies, institutions, etc."
51,2,antenna input,PERSON,"People, including fictional"
52,1,Romanian,NORP,Nationalities or religious or political groups
52,1,Europe,LOC,"Non-GPE locations, mountain ranges, bodies of water"
52,1,Romanian,NORP,Nationalities or religious or political groups
52,1,Europe,LOC,"Non-GPE locations, mountain ranges, bodies of water"
52,1,Romania,GPE,"Countries, cities, states"
52,1,DK,ORG,"Companies, agencies, institutions, etc."
53,2,Europe,LOC,"Non-GPE locations, mountain ranges, bodies of water"
53,2,Europe,LOC,"Non-GPE locations, mountain ranges, bodies of water"
53,2,Europe,LOC,"Non-GPE locations, mountain ranges, bodies of water"
53,2,European,NORP,Nationalities or religious or political groups
55,2,Germany,GPE,"Countries, cities, states"
55,2,Europe,LOC,"Non-GPE locations, mountain ranges, bodies of water"
55,2,457-480,QUANTITY,"Measurements, as of weight or distance"
55,2,Greece,GPE,"Countries, cities, states"
55,2,English,LANGUAGE,Any named language
55,2,Spanish,LANGUAGE,Any named language
56,2,Memphis,GPE,"Countries, cities, states"
56,2,TN,ORG,"Companies, agencies, institutions, etc."
56,2,Reatards,ORG,"Companies, agencies, institutions, etc."
56,2,Jay Reatard,PERSON,"People, including fictional"
56,2,Eric Oblivians,PERSON,"People, including fictional"
56,2,Goner,PERSON,"People, including fictional"
56,2,Jay,PERSON,"People, including fictional"
56,2,19,CARDINAL,Numerals that do not fall under another type
56,2,Jay,PERSON,"People, including fictional"
56,2,years,DATE,Absolute or relative dates or periods
57,1,1,CARDINAL,Numerals that do not fall under another type
57,1,1,CARDINAL,Numerals that do not fall under another type
57,1,it.1 Star,ORG,"Companies, agencies, institutions, etc."
57,1,6 feet,QUANTITY,"Measurements, as of weight or distance"
57,1,2,CARDINAL,Numerals that do not fall under another type
57,1,it.5,ORG,"Companies, agencies, institutions, etc."
57,1,12,MONEY,"Monetary values, including unit"
57,1,40,MONEY,"Monetary values, including unit"
58,2,the Hard Way: Thia,WORK_OF_ART,"Titles of books, songs, etc."
58,2,Husband,GPE,"Countries, cities, states"
60,2,second century,DATE,Absolute or relative dates or periods
62,1,last week,DATE,Absolute or relative dates or periods
63,2,Africa,LOC,"Non-GPE locations, mountain ranges, bodies of water"
63,2,africa,LOC,"Non-GPE locations, mountain ranges, bodies of water"
63,2,african,NORP,Nationalities or religious or political groups
63,2,Oliver N'goma,PERSON,"People, including fictional"
63,2,France,GPE,"Countries, cities, states"
63,2,Paris,GPE,"Countries, cities, states"
63,2,Amsterdam,GPE,"Countries, cities, states"
64,1,Clark,PERSON,"People, including fictional"
64,1,Amazon,ORG,"Companies, agencies, institutions, etc."
64,1,second,ORDINAL,"""first"", ""second"", etc."
64,1,3 months,DATE,Absolute or relative dates or periods
64,1,Sperry,ORG,"Companies, agencies, institutions, etc."
65,1,John Morse,PERSON,"People, including fictional"
65,1,Yankee,NORP,Nationalities or religious or political groups
65,1,Southern,NORP,Nationalities or religious or political groups
65,1,Boston,GPE,"Countries, cities, states"
65,1,Harvard,ORG,"Companies, agencies, institutions, etc."
65,1,its day,DATE,Absolute or relative dates or periods
65,1,today,DATE,Absolute or relative dates or periods
65,1,Morse,PERSON,"People, including fictional"
65,1,Morse,PERSON,"People, including fictional"
65,1,110 years ago,DATE,Absolute or relative dates or periods
66,2,6,CARDINAL,Numerals that do not fall under another type
66,2,Barbie,PERSON,"People, including fictional"
66,2,a few hours,TIME,Times smaller than a day
66,2,first,ORDINAL,"""first"", ""second"", etc."
66,2,first,ORDINAL,"""first"", ""second"", etc."
67,2,Mommy,PERSON,"People, including fictional"
67,2,four year old,DATE,Absolute or relative dates or periods
67,2,Barbie,PERSON,"People, including fictional"
67,2,Rapunzel,LOC,"Non-GPE locations, mountain ranges, bodies of water"
67,2,a 42 year old,DATE,Absolute or relative dates or periods
68,2,4 year old,DATE,Absolute or relative dates or periods
68,2,Stefan,PERSON,"People, including fictional"
69,2,3 year old,DATE,Absolute or relative dates or periods
69,2,7 year old,DATE,Absolute or relative dates or periods
69,2,Barbie,PERSON,"People, including fictional"
70,1,5 years old,DATE,Absolute or relative dates or periods
70,1,2 hours,TIME,Times smaller than a day
70,1,7,CARDINAL,Numerals that do not fall under another type
70,1,8,CARDINAL,Numerals that do not fall under another type
71,1,barbie rapunzel,PERSON,"People, including fictional"
71,1,6-year old,DATE,Absolute or relative dates or periods
71,1,an hour,TIME,Times smaller than a day
71,1,Barbie,PERSON,"People, including fictional"
71,1,Vivendi Games',PRODUCT,"Objects, vehicles, foods, etc. (not services)"
71,1,6-year old,DATE,Absolute or relative dates or periods
71,1,first,ORDINAL,"""first"", ""second"", etc."
71,1,20 bucks,MONEY,"Monetary values, including unit"
72,2,Barbie,PERSON,"People, including fictional"
72,2,5 year old,DATE,Absolute or relative dates or periods
73,2,3 year old,DATE,Absolute or relative dates or periods
73,2,Rapunzel,ORG,"Companies, agencies, institutions, etc."
74,1,one,CARDINAL,Numerals that do not fall under another type
74,1,about 2 hours,TIME,Times smaller than a day
75,1,MAC,ORG,"Companies, agencies, institutions, etc."
75,1,CLASSIC,PRODUCT,"Objects, vehicles, foods, etc. (not services)"
75,1,CRASHES,ORG,"Companies, agencies, institutions, etc."
75,1,Mouse,PERSON,"People, including fictional"
75,1,My three year,DATE,Absolute or relative dates or periods
76,1,Importcds (the Vendor,WORK_OF_ART,"Titles of books, songs, etc."
76,1,hundreds of dollars,MONEY,"Monetary values, including unit"
76,1,Amazon.com,ORG,"Companies, agencies, institutions, etc."
77,2,second,ORDINAL,"""first"", ""second"", etc."
77,2,summer day,DATE,Absolute or relative dates or periods
78,1,AWFUL,ORG,"Companies, agencies, institutions, etc."
79,2,Creepy,NORP,Nationalities or religious or political groups
80,1,Thai,NORP,Nationalities or religious or political groups
80,1,Thai,NORP,Nationalities or religious or political groups
80,1,Thai,NORP,Nationalities or religious or political groups
80,1,English,LANGUAGE,Any named language
80,1,English,LANGUAGE,Any named language
80,1,first,ORDINAL,"""first"", ""second"", etc."
80,1,two,CARDINAL,Numerals that do not fall under another type
80,1,Tokyo Shock,ORG,"Companies, agencies, institutions, etc."
81,2,Sooo JAMMIN',PERSON,"People, including fictional"
81,2,SUC,ORG,"Companies, agencies, institutions, etc."
81,2,Pokey,ORG,"Companies, agencies, institutions, etc."
81,2,first,ORDINAL,"""first"", ""second"", etc."
81,2,SUC,ORG,"Companies, agencies, institutions, etc."
81,2,ya,PERSON,"People, including fictional"
81,2,Tx,PERSON,"People, including fictional"
81,2,1,CARDINAL,Numerals that do not fall under another type
81,2,kickback & blow,ORG,"Companies, agencies, institutions, etc."
81,2,BET,ORG,"Companies, agencies, institutions, etc."
81,2,MTV,ORG,"Companies, agencies, institutions, etc."
81,2,Houston,GPE,"Countries, cities, states"
81,2,Pat,PERSON,"People, including fictional"
81,2,Moe,PERSON,"People, including fictional"
81,2,Pokey,ORG,"Companies, agencies, institutions, etc."
82,2,2,CARDINAL,Numerals that do not fall under another type
82,2,Botany Boys,PERSON,"People, including fictional"
82,2,3-2,PERSON,"People, including fictional"
82,2,Chris Ward,PERSON,"People, including fictional"
83,2,The Farm,ORG,"Companies, agencies, institutions, etc."
84,2,a few weeks,DATE,Absolute or relative dates or periods
85,2,one,CARDINAL,Numerals that do not fall under another type
85,2,Israel,GPE,"Countries, cities, states"
85,2,Bill Harvey,PERSON,"People, including fictional"
85,2,one,CARDINAL,Numerals that do not fall under another type
85,2,Keeper,PERSON,"People, including fictional"
88,1,"June 27, 2010",DATE,Absolute or relative dates or periods
88,1,"July 1-7, 2010",DATE,Absolute or relative dates or periods
88,1,Amazon,ORG,"Companies, agencies, institutions, etc."
88,1,"July 16, 2010",DATE,Absolute or relative dates or periods
89,1,Ariel Litte Mermaid,PERSON,"People, including fictional"
89,1,Ariel,PERSON,"People, including fictional"
90,1,Complete Instructions,WORK_OF_ART,"Titles of books, songs, etc."
90,1,Sweet Graces,WORK_OF_ART,"Titles of books, songs, etc."
90,1,the Supply List and Instruction,ORG,"Companies, agencies, institutions, etc."
90,1,Amazon,ORG,"Companies, agencies, institutions, etc."
91,2,the 90s,DATE,Absolute or relative dates or periods
91,2,Almo Sounds,WORK_OF_ART,"Titles of books, songs, etc."
91,2,2,CARDINAL,Numerals that do not fall under another type
91,2,last year's,DATE,Absolute or relative dates or periods
91,2,80s,DATE,Absolute or relative dates or periods
91,2,Duran Duran,FAC,"Buildings, airports, highways, bridges, etc."
91,2,Nite Version,WORK_OF_ART,"Titles of books, songs, etc."
91,2,12,CARDINAL,Numerals that do not fall under another type
91,2,Sexor,WORK_OF_ART,"Titles of books, songs, etc."
92,2,OMG,ORG,"Companies, agencies, institutions, etc."
92,2,Soulwax,PERSON,"People, including fictional"
92,2,this Saturday,TIME,Times smaller than a day
92,2,night,TIME,Times smaller than a day
92,2,House/Techno,ORG,"Companies, agencies, institutions, etc."
93,1,1980,DATE,Absolute or relative dates or periods
93,1,2,CARDINAL,Numerals that do not fall under another type
93,1,5,CARDINAL,Numerals that do not fall under another type
93,1,1980,DATE,Absolute or relative dates or periods
93,1,Jason Bateman,PERSON,"People, including fictional"
93,1,1980,DATE,Absolute or relative dates or periods
94,2,80,CARDINAL,Numerals that do not fall under another type
95,1,ten or,CARDINAL,Numerals that do not fall under another type
95,1,twelve,CARDINAL,Numerals that do not fall under another type
96,2,Trains,PERSON,"People, including fictional"
96,2,1,CARDINAL,Numerals that do not fall under another type
98,2,Deodato,PERSON,"People, including fictional"
98,2,John Tropea,PERSON,"People, including fictional"
101,2,Tess,ORG,"Companies, agencies, institutions, etc."
101,2,the Isle of May,LOC,"Non-GPE locations, mountain ranges, bodies of water"
101,2,Colin Macpherson,PERSON,"People, including fictional"
101,2,Colin,PERSON,"People, including fictional"
101,2,Tess,FAC,"Buildings, airports, highways, bridges, etc."
101,2,about 10 to 16,CARDINAL,Numerals that do not fall under another type
102,2,Colin,PERSON,"People, including fictional"
102,2,Highlander,WORK_OF_ART,"Titles of books, songs, etc."
103,1,Tess Lindsay,PERSON,"People, including fictional"
103,1,Colin Macpherson,PERSON,"People, including fictional"
103,1,Tess,ORG,"Companies, agencies, institutions, etc."
103,1,Colin,PERSON,"People, including fictional"
103,1,one,CARDINAL,Numerals that do not fall under another type
103,1,Colin,GPE,"Countries, cities, states"
104,1,half,CARDINAL,Numerals that do not fall under another type
104,1,Amazon,ORG,"Companies, agencies, institutions, etc."
105,1,about 2,CARDINAL,Numerals that do not fall under another type
105,1,all day,DATE,Absolute or relative dates or periods
106,2,first,ORDINAL,"""first"", ""second"", etc."
106,2,Yoruba,GPE,"Countries, cities, states"
106,2,NEVER,ORG,"Companies, agencies, institutions, etc."
106,2,Yoruba,GPE,"Countries, cities, states"
106,2,Yoruba,GPE,"Countries, cities, states"
106,2,Yoruba,GPE,"Countries, cities, states"
106,2,Yoruba,GPE,"Countries, cities, states"
106,2,Yoruba,GPE,"Countries, cities, states"
107,1,Yoruba,GPE,"Countries, cities, states"
107,1,English,LANGUAGE,Any named language
107,1,Yoruba,GPE,"Countries, cities, states"
108,1,DashMat,PERSON,"People, including fictional"
110,2,Kelly Club Pet Parade,ORG,"Companies, agencies, institutions, etc."
110,2,My Daughter Loves IT,PERSON,"People, including fictional"
110,2,4 year old,DATE,Absolute or relative dates or periods
110,2,Strike Up The Band and Clap Your Hands for Kelly's Pet Parade,WORK_OF_ART,"Titles of books, songs, etc."
110,2,Kelly,ORG,"Companies, agencies, institutions, etc."
111,2,6-year old,DATE,Absolute or relative dates or periods
111,2,5-year old,DATE,Absolute or relative dates or periods
112,1,3-4yr,DATE,Absolute or relative dates or periods
112,1,4yr,ORDINAL,"""first"", ""second"", etc."
113,2,6 year,DATE,Absolute or relative dates or periods
113,2,a year ago,DATE,Absolute or relative dates or periods
114,2,2 1/2,CARDINAL,Numerals that do not fall under another type
115,2,DDR,ORG,"Companies, agencies, institutions, etc."
115,2,only 90 odd seconds,TIME,Times smaller than a day
115,2,Claire,PERSON,"People, including fictional"
115,2,UK,GPE,"Countries, cities, states"
115,2,2nd,DATE,Absolute or relative dates or periods
115,2,3rd,ORDINAL,"""first"", ""second"", etc."
115,2,US,GPE,"Countries, cities, states"
116,2,England,GPE,"Countries, cities, states"
116,2,jack,PERSON,"People, including fictional"
117,1,US,GPE,"Countries, cities, states"
117,1,japanese,NORP,Nationalities or religious or political groups
117,1,Dance,ORG,"Companies, agencies, institutions, etc."
117,1,Jam,PRODUCT,"Objects, vehicles, foods, etc. (not services)"
117,1,Video Killed,PERSON,"People, including fictional"
117,1,Radio,ORG,"Companies, agencies, institutions, etc."
118,1,US,GPE,"Countries, cities, states"
118,1,japanese,NORP,Nationalities or religious or political groups
118,1,Dance,ORG,"Companies, agencies, institutions, etc."
119,2,John Michael Montgomery,PERSON,"People, including fictional"
119,2,Montgomery,ORG,"Companies, agencies, institutions, etc."
119,2,today,DATE,Absolute or relative dates or periods
120,2,JMM,ORG,"Companies, agencies, institutions, etc."
120,2,every couple of years,DATE,Absolute or relative dates or periods
120,2,Goes Good With Beer,WORK_OF_ART,"Titles of books, songs, etc."
120,2,Letters From Home,WORK_OF_ART,"Titles of books, songs, etc."
120,2,the year,DATE,Absolute or relative dates or periods
121,1,john michael montgomery,PERSON,"People, including fictional"
122,2,5,CARDINAL,Numerals that do not fall under another type
122,2,24,CARDINAL,Numerals that do not fall under another type
122,2,23,CARDINAL,Numerals that do not fall under another type
123,2,LO QUE,ORG,"Companies, agencies, institutions, etc."
123,2,SI PUEDO DISCUTIR DE BOX,ORG,"Companies, agencies, institutions, etc."
123,2,CON MI SUEGRO,ORG,"Companies, agencies, institutions, etc."
123,2,QUE,ORG,"Companies, agencies, institutions, etc."
124,2,One,CARDINAL,Numerals that do not fall under another type
124,2,Honey Bunches of Oats,ORG,"Companies, agencies, institutions, etc."
124,2,Cap'n Crunch Berries,PRODUCT,"Objects, vehicles, foods, etc. (not services)"
124,2,TASTE,ORG,"Companies, agencies, institutions, etc."
125,2,Amazon,ORG,"Companies, agencies, institutions, etc."
125,2,23,MONEY,"Monetary values, including unit"
125,2,between $1.99 to $2.50,MONEY,"Monetary values, including unit"
126,2,Walmart,ORG,"Companies, agencies, institutions, etc."
126,2,6,CARDINAL,Numerals that do not fall under another type
126,2,one,CARDINAL,Numerals that do not fall under another type
126,2,3,CARDINAL,Numerals that do not fall under another type
127,2,One,CARDINAL,Numerals that do not fall under another type
129,2,Hanford Mills,ORG,"Companies, agencies, institutions, etc."
129,2,Hanford Mills,ORG,"Companies, agencies, institutions, etc."
133,2,BW,ORG,"Companies, agencies, institutions, etc."
134,1,kinda,PERSON,"People, including fictional"
134,1,First,ORDINAL,"""first"", ""second"", etc."
134,1,Second,ORDINAL,"""first"", ""second"", etc."
134,1,a minute,TIME,Times smaller than a day
134,1,two,CARDINAL,Numerals that do not fall under another type
135,2,Great Graphics,ORG,"Companies, agencies, institutions, etc."
135,2,2006 Coast to Coast,DATE,Absolute or relative dates or periods
136,1,Outrun,GPE,"Countries, cities, states"
136,1,1985,DATE,Absolute or relative dates or periods
136,1,Outrun,GPE,"Countries, cities, states"
136,1,1985,DATE,Absolute or relative dates or periods
136,1,Arcade,NORP,Nationalities or religious or political groups
136,1,Colin MacRea,PERSON,"People, including fictional"
136,1,US,GPE,"Countries, cities, states"
136,1,Battlefield,WORK_OF_ART,"Titles of books, songs, etc."
136,1,Ireland,GPE,"Countries, cities, states"
136,1,Florida,GPE,"Countries, cities, states"
137,2,My Henry: I,PERSON,"People, including fictional"
137,2,Henry,PERSON,"People, including fictional"
137,2,70,DATE,Absolute or relative dates or periods
137,2,Henry,FAC,"Buildings, airports, highways, bridges, etc."
137,2,Henry,PERSON,"People, including fictional"
138,2,Henry,PERSON,"People, including fictional"
138,2,Henry,PERSON,"People, including fictional"
138,2,the early 70's,DATE,Absolute or relative dates or periods
138,2,forty,DATE,Absolute or relative dates or periods
138,2,Henry,PERSON,"People, including fictional"
139,2,6,CARDINAL,Numerals that do not fall under another type
139,2,Henry,FAC,"Buildings, airports, highways, bridges, etc."
